
DATE,PE
2019-02-05,15.973510706575649
2019-02-06,15.93797771165179
2019-02-07,15.788844156601904
2019-02-08,15.799521559017448
2019-02-11,15.810724079584576
2019-02-12,16.014528268860495
2019-02-13,16.062955831728807
2019-02-14,16.020362914989207
2019-02-15,16.194643794853842
2019-02-18,16.194643794853842
2019-02-19,16.21891592274929
2019-02-20,16.247739074625123
2019-02-21,16.190442849641173
2019-02-22,16.294241204270964
2019-02-25,16.314312386953734
2019-02-26,16.30141781900928
2019-02-27,16.292549156893635
2019-02-28,16.246513798938093
2019-03-01,16.369044838860347
2019-03-04,16.305523120037364
2019-03-05,16.287073797290986
2019-03-06,16.180815039701073
2019-03-07,16.049334423166744
2019-03-08,16.015121438580103
2019-03-11,16.25
2019-03-12,16.297991592713686
2019-03-13,16.4112564222326
2019-03-14,16.397010742643623
2019-03-15,16.478748248482017
2019-03-18,16.539817842129846
2019-03-19,16.537657636618402
2019-03-20,16.488965436711815
2019-03-21,16.667912190565158
2019-03-22,16.351646426903315
2019-03-25,16.337926202709014
2019-03-26,16.45527790751985
2019-03-27,16.37885333956095
2019-03-28,16.437645959831855
2019-03-29,16.548341896310134
2019-04-01,16.791742313323574
2019-04-02,16.79203513909224
2019-04-03,16.828111273792093
2019-04-04,16.863191800878475
2019-04-05,16.94137628111274
2019-04-08,16.959121522693998
2019-04-09,16.856222547584185
2019-04-10,16.91484626647145
2019-04-11,16.915490483162518
2019-04-12,17.027291361639822
2019-04-15,17.01657393850659
2019-04-16,17.025241581259152
2019-04-17,16.986530014641286
2019-04-18,17.013352855051245
2019-04-19,17.013352855051245
2019-04-22,17.030571010248902
2019-04-23,17.181142020497802
2019-04-24,17.143484626647144
2019-04-25,17.137159590043925
2019-04-26,17.21745241581259
2019-04-29,17.235900439238655
2019-04-30,17.252298682284042
2019-05-01,17.121866947762943
2019-05-02,17.08550011712345
2019-05-03,17.25017568517217
2019-05-06,17.173049894588896
2019-05-07,16.88949402670415
2019-05-08,16.862379948465684
2019-05-09,16.811431248535957
2019-05-10,16.873975169829002
2019-05-13,16.466795502459593
2019-05-14,16.598793628484422
2019-05-15,16.695713281799016
2019-05-16,16.844225814007967
2019-05-17,16.745900679316
2019-05-20,16.632876551885687
2019-05-21,16.77418599203561
2019-05-22,16.726809557273366
2019-05-23,16.527524010306863
2019-05-24,16.5498945888967
2019-05-27,16.5498945888967
2019-05-28,16.411278988053407
2019-05-29,16.297844928554696
2019-05-30,16.332044975404077
2019-05-31,16.116537830873742
2019-06-03,16.04097258752703
2019-06-04,16.384768250628323
2019-06-05,16.5184990355953
2019-06-06,16.619849202174294
2019-06-07,16.79431877958969
2019-06-10,16.87258168215559
2019-06-11,16.866678356420596
2019-06-12,16.8323104798644
2019-06-13,16.901280028055407
2019-06-14,16.874042901396926
2019-06-17,16.88976562043369
2019-06-18,17.053889765620433
2019-06-19,17.104798643988545
2019-06-20,17.266818633467764
2019-06-21,17.2450756911567
2019-06-24,17.215208369863813
2019-06-25,17.05172716114326
2019-06-26,17.030685604068037
2019-06-27,17.09579753346192
2019-06-28,17.194225261558245
2019-07-01,17.45674577468936
2019-07-02,17.507861727813438
2019-07-03,17.642188328131443
2019-07-04,17.642188328131443
2019-07-05,17.610329191449267
2019-07-08,17.525175195807076
2019-07-09,17.546846475472588
2019-07-10,17.625993757729226
2019-07-11,17.666274071020553
2019-07-12,17.747894705847713
2019-07-15,17.75101584123432
2019-07-16,17.69059537129733
2019-07-17,17.5750544726459
2019-07-18,17.638007184500324
2019-07-19,17.52906189270361
2019-07-22,17.578646722807846
2019-07-23,17.69901654790648
2019-07-24,17.781991637712736
2019-07-25,17.688416465461398
2019-07-26,17.819091926270538
2019-07-29,17.790295035628052
2019-07-30,17.7444202343796
2019-07-31,17.55126317649137
2019-08-01,17.495320459661176
2019-08-02,17.367906646131978
2019-08-05,16.85072858666035
2019-08-06,17.07007463570667
2019-08-07,17.083165501717808
2019-08-08,17.403684397583227
2019-08-09,17.288532164435495
2019-08-12,17.08180310389764
2019-08-13,17.333965170003555
2019-08-14,16.826205425897406
2019-08-15,16.867669707380642
2019-08-16,17.111005804999408
2019-08-19,17.318149508352093
2019-08-20,17.18108044070608
2019-08-21,17.32276981400308
2019-08-22,17.31400308020377
2019-08-23,16.864767207676817
2019-08-26,17.049994076531217
2019-08-27,16.995379694349012
2019-08-28,17.106622438099752
2019-08-29,17.32365833432058
2019-08-30,17.33479445563322
2019-09-02,17.33479445563322
2019-09-03,17.331206392748523
2019-09-04,17.5191126483392
2019-09-05,17.74703321605343
2019-09-06,17.763193988908103
