                                                    Concept  PeriodEnd                                                                                                                                                   Dims         Value
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                              srt:ProductOrServiceAxis:teva:AjovyMember; us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  1.600000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                              srt:ProductOrServiceAxis:teva:AjovyMember; us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  1.240000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                           srt:ProductOrServiceAxis:teva:COPAXONEMember; us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  2.130000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                           srt:ProductOrServiceAxis:teva:COPAXONEMember; us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  2.310000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                           srt:ProductOrServiceAxis:teva:COPAXONEMember; us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  2.680000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                 srt:ProductOrServiceAxis:teva:RespiratoryProductMember; us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  2.440000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                 srt:ProductOrServiceAxis:teva:RespiratoryProductMember; us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  2.650000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                 srt:ProductOrServiceAxis:teva:RespiratoryProductMember; us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  2.730000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                      srt:ProductOrServiceAxis:teva:OtherProductsMember; us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  5.040000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                      srt:ProductOrServiceAxis:teva:OtherProductsMember; us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  5.160000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                      srt:ProductOrServiceAxis:teva:OtherProductsMember; us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  3.930000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                                         us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  5.103000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                         us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  4.837000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                                                         us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  4.525000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31 srt:ProductOrServiceAxis:teva:GenericsMediciansIncludingOtcAndBiosimilarsMember; us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  1.937000e+09
