Date,Open,High,Low,Close,Volume,ChangePct
2014-01-01,183.98,184.94,176.88,178.18,2530000000.0,-0.0352
2014-02-01,177.97,187.15,173.71,186.29,2390000000.0,0.0455
2014-03-01,184.65,189.02,183.75,187.01,2550000000.0,0.0039000000000000003
2014-04-01,187.62,189.7,181.31,188.31,2350000000.0,0.006999999999999999
2014-05-01,188.22,192.8,186.01,192.68,1780000000.0,0.0232
2014-06-01,192.95,196.6,191.97,195.72,1680000000.0,0.0158
2014-07-01,196.2,199.06,192.97,193.09,1890000000.0,-0.0134
2014-08-01,192.56,200.82,190.55,200.71,1830000000.0,0.0395
2014-09-01,200.97,201.9,196.05,197.02,2109999999.9999998,-0.0184
2014-10-01,196.7,201.82,181.92,201.66,3940000000.0,0.0236
2014-11-01,201.92,207.87,200.06,207.2,1570000000.0,0.0275
2014-12-01,206.4,212.97,197.86,205.54,3050000000.0,-0.008
2015-01-01,206.38,206.88,198.55,199.45,3180000000.0,-0.0296
2015-02-01,200.05,212.24,197.86,210.66,1900000000.0,0.0562
2015-03-01,210.78,212.06,204.12,206.43,2750000000.0,-0.020099999999999996
2015-04-01,206.39,212.48,204.51,208.46,2040000000.0,0.0098
2015-05-01,209.4,213.78,206.76,211.14,1890000000.0,0.0129
2015-06-01,211.94,213.34,205.28,205.85,2540000000.0,-0.025099999999999997
2015-07-01,207.73,213.18,204.11,210.5,2450000000.0,0.0226
2015-08-01,210.46,211.31,182.4,197.67,3730000000.0,-0.061
2015-09-01,193.12,202.89,186.93,191.63,3280000000.0,-0.030600000000000002
2015-10-01,192.08,209.44,189.12,207.93,2540000000.0,0.0851
2015-11-01,208.32,211.66,202.18,208.69,1920000000.0,0.0037
2015-12-01,209.44,211.0,199.83,203.87,2920000000.0,-0.0231
2016-01-01,200.49,201.9,181.02,193.72,3710000000.0,-0.049800000000000004
2016-02-01,192.53,196.68,181.09,193.56,2920000000.0,-0.0008
2016-03-01,195.01,206.87,194.45,205.52,2320000000.0,0.061799999999999994
2016-04-01,204.35,210.92,203.09,206.33,1910000000.0,0.0039000000000000003
2016-05-01,206.92,210.69,202.78,209.84,1830000000.0,0.017
2016-06-01,209.12,212.52,198.65,209.47,2630000000.0,-0.0018
2016-07-01,209.36,217.54,207.06,217.12,1650000000.0,0.0365
2016-08-01,217.19,219.6,214.25,217.38,1520000000.0,0.0012
2016-09-01,217.37,219.22,212.31,216.3,2300000000.0,-0.005
2016-10-01,215.82,216.7,211.21,212.55,1730000000.0,-0.0173
2016-11-01,212.93,221.82,208.38,220.38,2069999999.9999998,0.0368
2016-12-01,220.73,228.34,219.15,223.53,1820000000.0,0.0143
2017-01-01,225.04,229.71,223.88,227.53,1480000000.0,0.0179
2017-02-01,228.25,237.31,226.82,236.47,1370000000.0,0.0393
2017-03-01,238.39,240.32,231.61,235.74,1920000000.0,-0.0031
2017-04-01,235.8,239.53,232.51,238.08,1550000000.0,0.009899999999999999
2017-05-01,238.68,242.08,235.43,241.44,1490000000.0,0.0141
2017-06-01,241.97,245.01,239.96,241.8,1570000000.0,0.0015
2017-07-01,242.88,248.0,240.34,246.77,1060000000.0,0.0206
2017-08-01,247.46,248.91,241.83,247.49,1560000000.0,0.0029
2017-09-01,247.92,251.32,244.95,251.23,1290000000.0,0.0151
2017-10-01,251.49,257.89,251.29,257.15,1320000000.0,0.0236
2017-11-01,258.04,266.05,255.63,265.01,1370000000.0,0.030600000000000002
2017-12-01,264.76,268.6,260.76,266.86,1720000000.0,0.006999999999999999
2018-01-01,267.84,286.63,267.4,281.9,2000000000.0,0.0564
2018-02-01,281.07,283.06,252.92,271.65,2920000000.0,-0.0364
2018-03-01,271.41,280.41,257.83,263.15,2340000000.0,-0.0313
2018-04-01,262.55,271.3,254.67,264.51,2000000000.0,0.0052
2018-05-01,263.87,274.25,259.05,270.94,1610000000.0,0.024300000000000002
2018-06-01,272.41,279.48,268.49,271.28,1600000000.0,0.0013
2018-07-01,269.51,284.37,269.24,281.33,1270000000.0,0.037000000000000005
2018-08-01,281.56,291.74,279.16,290.31,1310000000.0,0.0319
2018-09-01,289.84,293.94,286.71,290.72,1230000000.0,0.0014000000000000002
2018-10-01,292.11,293.21,259.85,270.63,3020000000.0,-0.0691
2018-11-01,271.6,281.22,263.07,275.65,2020000000.0,0.018500000000000003
2018-12-01,280.28,280.4,233.76,249.92,3100000000.0,-0.0933
2019-01-01,245.98,270.47,243.67,269.93,2049999999.9999998,0.0801
2019-02-01,270.15,281.31,267.83,278.68,1370000000.0,0.032400000000000005
2019-03-01,280.44,285.18,272.42,282.48,1680000000.0,0.013600000000000001
2019-04-01,284.7,294.45,284.4,294.02,1210000000.0,0.0409
2019-05-01,294.72,294.95,275.24,275.27,1850000000.0,-0.0638
2019-06-01,275.31,296.31,273.09,293.0,1340000000.0,0.0644
2019-07-01,296.68,302.23,294.33,297.43,1140000000.0,0.0151
2019-08-01,297.6,300.87,281.72,292.45,2040000000.0,-0.0167
